,名称,类别,申报单位,保护单位
303,薅草锣鼓（宣恩薅草锣鼓）,扩展项目,湖北省宣恩县,宣恩县文化馆
304,薅草锣鼓（长阳山歌）,扩展项目,湖北省长阳土家族自治县,长阳土家族自治县民族民间传统文化保护中心
305,薅草锣鼓（川东土家族薅草锣鼓）,扩展项目,四川省宣汉县,宣汉县文化馆（宣汉县美术馆）
306,薅草锣鼓（金湖秧歌）,扩展项目,江苏省金湖县,金湖县文化馆
307,侗族大歌,新增项目,贵州省黎平县,黎平县非物质文化遗产保护中心
308,侗族大歌,新增项目,广西壮族自治区柳州市,柳州市群众艺术馆
309,侗族大歌,新增项目,广西壮族自治区三江侗族自治县,三江侗族自治县文化馆（三江侗族自治县非物质文化遗产保护与发展中心）
310,侗族大歌,扩展项目,贵州省从江县,从江县非物质文化遗产保护中心
311,侗族大歌,扩展项目,贵州省榕江县,榕江县非物质文化遗产保护中心
312,侗族琵琶歌,新增项目,贵州省榕江县,榕江县非物质文化遗产保护中心
313,侗族琵琶歌,新增项目,贵州省黎平县,黎平县非物质文化遗产保护中心
314,侗族琵琶歌,扩展项目,贵州省从江县,从江县非物质文化遗产保护中心
315,哈尼族多声部民歌,新增项目,云南省红河哈尼族彝族自治州,红河哈尼族彝族自治州非物质文化遗产保护中心
316,多声部民歌（潮尔道-蒙古族合声演唱）,扩展项目,内蒙古自治区锡林浩特市,锡林浩特市全民健身服务中心
317,多声部民歌（瑶族蝴蝶歌）,扩展项目,广西壮族自治区富川瑶族自治县,富川瑶族自治县文化馆
318,多声部民歌（壮族三声部民歌）,扩展项目,广西壮族自治区马山县,马山县文化馆
319,多声部民歌（羌族多声部民歌）,扩展项目,四川省松潘县,松潘县文化馆
320,多声部民歌（硗碛多声部民歌）,扩展项目,四川省雅安市,宝兴县文化馆
321,多声部民歌（苗族多声部民歌）,扩展项目,贵州省台江县,台江县非物质文化遗产保护中心
322,多声部民歌（苗族多声部民歌）,扩展项目,贵州省剑河县,剑河县非物质文化遗产保护中心
323,多声部民歌（潮尔道-阿巴嘎潮尔）,扩展项目,内蒙古自治区阿巴嘎旗,阿巴嘎旗文化馆
324,多声部民歌（阿尔麦多声部民歌）,扩展项目,四川省黑水县,黑水县文化馆
325,彝族海菜腔,新增项目,云南省红河哈尼族彝族自治州,石屏县文化馆
326,那坡壮族民歌,新增项目,广西壮族自治区那坡县,那坡县文化馆
327,澧水船工号子,新增项目,湖南省澧县,澧县文化馆
328,古琴艺术,新增项目,中国艺术研究院,中国艺术研究院
329,古琴艺术（虞山琴派）,扩展项目,江苏省常熟市,常熟市虞山琴派艺术工作室
330,古琴艺术（广陵琴派）,扩展项目,江苏省扬州市,扬州市文化馆
331,古琴艺术（金陵琴派）,扩展项目,江苏省南京市,南京市秦淮区文化馆
332,古琴艺术（梅庵琴派）,扩展项目,江苏省南通市,南通市非物质文化遗产研究会
333,古琴艺术（梅庵琴派）,扩展项目,江苏省镇江市,镇江梦溪琴社
334,古琴艺术（浙派）,扩展项目,浙江省杭州市,杭州市文化馆（杭州市非物质文化遗产保护中心）
335,古琴艺术（诸城派）,扩展项目,山东省诸城市,诸城市文化馆
336,古琴艺术（岭南派）,扩展项目,广东省广州市,广州市海珠区文化馆（广州市海珠区非物质文化遗产保护中心）
337,古琴艺术,扩展项目,北京市大兴区,北京钧天坊古琴文化艺术传播有限公司
338,古琴艺术,扩展项目,香港特别行政区,蔡昌寿及蔡昌寿斲琴学会
339,古琴艺术,扩展项目,陕西省,陕西省艺术研究院
340,蒙古族马头琴音乐,新增项目,内蒙古自治区,内蒙古自治区艺术研究院（内蒙古自治区非物质文化遗产保护中心）
341,蒙古族马头琴音乐,扩展项目,吉林省前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县民族歌舞传习中心（马头琴乐团）
342,蒙古族马头琴音乐（蒙古勒津马头琴音乐）,扩展项目,辽宁省阜新市,阜新蒙古族自治县文化体育旅游服务中心
343,蒙古族四胡音乐,新增项目,内蒙古自治区通辽市,通辽市民族歌舞团
344,蒙古族四胡音乐,扩展项目,吉林省前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县草原文化馆
345,蒙古族四胡音乐,扩展项目,黑龙江省杜尔伯特蒙古族自治县,杜尔伯特蒙古族自治县博物馆
346,蒙古族四胡音乐,扩展项目,内蒙古自治区科尔沁右翼中旗,科尔沁右翼中旗文化馆
347,唢呐艺术,新增项目,河南省沁阳市,沁阳市文化馆（沁阳市非物质文化遗产保中心）
348,唢呐艺术,新增项目,甘肃省庆阳市,庆阳市西峰区文化馆
349,唢呐艺术（唐山花吹）,扩展项目,河北省曹妃甸区,唐山市曹妃甸区文化馆
350,唢呐艺术（丰宁满族吵子会）,扩展项目,河北省丰宁满族自治县,丰宁满族自治县非物质文化遗产保护中心
351,唢呐艺术（晋北鼓吹）,扩展项目,山西省阳高县,阳高县文化馆
352,唢呐艺术（上党八音会）,扩展项目,山西省长子县,长子县文化馆
353,唢呐艺术（上党乐户班社）,扩展项目,山西省壶关县,壶关县牛府鼓乐班社
354,唢呐艺术（晋北鼓吹）,扩展项目,山西省忻州市,忻州市忻府区文化馆
355,唢呐艺术（丹东鼓乐）,扩展项目,辽宁省丹东市,丹东市文化体育旅游发展服务中心
356,唢呐艺术（杨小班鼓吹乐棚）,扩展项目,黑龙江省肇州县,肇州县非物质文化遗产保护中心
357,唢呐艺术（于都唢呐公婆吹）,扩展项目,江西省于都县,于都县文化馆
358,唢呐艺术（万载得胜鼓）,扩展项目,江西省万载县,万载县文化馆
359,唢呐艺术（邹城平派鼓吹乐）,扩展项目,山东省邹城市,邹城市文化旅游公共服务中心（邹城市图书馆、邹城市文化馆）
360,唢呐艺术（沮水呜音）,扩展项目,湖北省保康县,保康县文化馆
361,唢呐艺术（呜音喇叭）,扩展项目,湖北省南漳县,南漳县文化馆
362,唢呐艺术（远安呜音）,扩展项目,湖北省远安县,远安县文化馆
363,唢呐艺术（青山唢呐）,扩展项目,湖南省湘潭县,湘潭县文化馆
364,唢呐艺术（永城吹打）,扩展项目,重庆市綦江区,重庆市綦江区文化馆
365,唢呐艺术（绥米唢呐）,扩展项目,陕西省绥德县,绥德县文化馆
366,唢呐艺术（绥米唢呐）,扩展项目,陕西省米脂县,米脂县文化馆（米脂县戏曲研究中心）
367,唢呐艺术（徐州鼓吹乐）,扩展项目,江苏省徐州市,徐州文化馆
368,唢呐艺术（砀山唢呐）,扩展项目,安徽省宿州市,砀山县文化馆
369,唢呐艺术（长汀公嫲吹）,扩展项目,福建省长汀县,福建省长汀县文化馆
370,唢呐艺术（临县大唢呐）,扩展项目,山西省临县,临县大唢呐培训活动中心
371,唢呐艺术（灵璧菠林喇叭）,扩展项目,安徽省灵璧县,灵璧县文化馆
372,唢呐艺术（五台八大套）,扩展项目,山西省忻州市五台县,五台《山西八大套》研究会
373,唢呐艺术（子长唢呐）,扩展项目,陕西省延安市子长市,子长市文化馆
374,羌笛演奏及制作技艺,新增项目,四川省茂县,茂县文化馆
375,辽宁鼓乐,新增项目,辽宁省,辽宁省文化遗产保护中心（辽宁省非物质文化遗产保护中心）
376,辽宁鼓乐,新增项目,辽宁省辽阳市,辽阳市公共文化和体育事务服务中心
377,江南丝竹,新增项目,上海市,上海市群众艺术馆（上海市非物质文化遗产保护中心）
378,江南丝竹,新增项目,江苏省太仓市,太仓市文化馆
379,江南丝竹,扩展项目,浙江省杭州市,杭州艺术学校
380,海州五大宫调,新增项目,江苏省连云港市,连云港市民俗博物馆（连云港市非物质文化遗产博物馆、连云港市非物质文化遗产保护中心、连云港市山海文化生态保护中心）
381,嵊州吹打,新增项目,浙江省嵊州市,嵊州市文化旅游产业发展中心（嵊州市非物质文化遗产保护中心、嵊州市越剧文化生态保护区服务中心）
382,舟山锣鼓,新增项目,浙江省舟山市,舟山市定海区非物质文化遗产保护中心
383,十番音乐（闽西客家十番音乐）,新增项目,福建省龙岩市,福建省龙岩市艺术馆
384,十番音乐（茶亭十番音乐）,新增项目,福建省福州市,福州市台江区文化馆
385,十番音乐（楚州十番锣鼓）,扩展项目,江苏省淮安市,淮安市淮安区文化馆
386,十番音乐（邵伯锣鼓小牌子）,扩展项目,江苏省江都市,扬州市江都区邵伯古镇传统文化传承发展中心
387,十番音乐（楼塔细十番）,扩展项目,浙江省杭州市,杭州市萧山区楼塔细十番协会
388,十番音乐（遂昌昆曲十番）,扩展项目,浙江省遂昌县,遂昌县非物质文化遗产保护中心
389,十番音乐（黄石惠洋十音）,扩展项目,福建省莆田市,莆田市荔城区文化馆
390,十番音乐（佛山十番）,扩展项目,广东省佛山市,佛山市南海区博物馆
391,十番音乐（海南八音器乐）,扩展项目,海南省海口市,海口市美兰区文化馆
392,鲁西南鼓吹乐,新增项目,山东省嘉祥县,嘉祥县公共文化服务中心（嘉祥县图书馆、嘉祥县文化馆）
393,鲁西南鼓吹乐,扩展项目,山东省菏泽市牡丹区,菏泽市牡丹区文化馆
394,鲁西南鼓吹乐,扩展项目,山东省巨野县,巨野县文化馆
395,鲁西南鼓吹乐,扩展项目,山东省单县,单县文化馆
396,板头曲,新增项目,河南省南阳市,南阳市群众艺术馆（南阳市非物质文化遗产保护中心）
397,宜昌丝竹,新增项目,湖北省宜昌市夷陵区,宜昌市夷陵区文化馆
398,枝江民间吹打乐,新增项目,湖北省枝江市,枝江市文化馆
399,广东音乐,新增项目,广东省广州市,广东音乐曲艺团有限公司
400,广东音乐,新增项目,广东省台山市,广东省台山市文化馆
401,潮州音乐,新增项目,广东省潮州市,潮州市文化馆
402,潮州音乐,新增项目,广东省汕头市,汕头市潮阳区文化馆
403,广东汉乐,新增项目,广东省大埔县,大埔县文化馆
404,吹打（接龙吹打）,新增项目,重庆市巴南区,重庆市巴南区接龙镇文化体育服务中心
405,吹打（金桥吹打）,新增项目,重庆市万盛区,重庆市万盛经济技术开发区文化馆
406,吹打（广西八音）,扩展项目,广西壮族自治区玉林市,玉林市玉州区文化馆
407,梁平癞子锣鼓,新增项目,重庆市梁平县,重庆市梁平区文化遗产保护中心
408,土家族打溜子,新增项目,湖南省湘西土家族苗族自治州,湘西土家族苗族自治州非物质文化遗产保护中心
409,土家族打溜子,扩展项目,湖北省五峰土家族自治县,五峰土家族自治县文化馆
410,土家族打溜子,扩展项目,湖北省鹤峰县,鹤峰县文化馆（鹤峰县非物质文化遗产保护中心）
411,河北鼓吹乐,新增项目,河北省永年县,邯郸市永年区文化馆
412,河北鼓吹乐,新增项目,河北省抚宁县,秦皇岛市抚宁区文化馆
413,晋南威风锣鼓,新增项目,山西省临汾市,临汾市群众艺术馆
414,绛州鼓乐,新增项目,山西省新绛县,山西绛州鼓乐艺术团
415,上党八音会,新增项目,山西省晋城市,晋城市文化馆（晋城市书画院、晋城市美术馆）
416,冀中笙管乐（屈家营音乐会）,新增项目,河北省固安县,固安县文物和非物质文化遗产所（固安县博物馆）
417,冀中笙管乐（高洛音乐会）,新增项目,河北省涞水县,涞水县文化馆
418,冀中笙管乐（高桥音乐会）,新增项目,河北省霸州市,霸州市文化馆
419,冀中笙管乐（胜芳音乐会）,新增项目,河北省霸州市,霸州市文化馆
420,冀中笙管乐（白庙村音乐会）,扩展项目,北京市大兴区,北京市大兴区文化馆
421,冀中笙管乐（雄县古乐）,扩展项目,河北省雄县,雄县文化馆
422,冀中笙管乐（小冯村音乐会）,扩展项目,河北省固安县,固安县文物和非物质文化遗产所（固安县博物馆）
423,冀中笙管乐（张庄音乐会）,扩展项目,河北省霸州市,霸州市文化馆
424,冀中笙管乐（军卢村音乐会）,扩展项目,河北省廊坊市安次区,安次区文化馆
425,冀中笙管乐（东张务音乐会）,扩展项目,河北省廊坊市安次区,安次区文化馆
426,冀中笙管乐（南响口梵呗音乐会）,扩展项目,河北省廊坊市安次区,安次区文化馆
427,冀中笙管乐（里东庄音乐老会）,扩展项目,河北省文安县,河北省文安县文化馆
428,冀中笙管乐（辛安庄民间音乐会）,扩展项目,河北省任丘市,任丘市文化馆
429,冀中笙管乐（安新县圈头村音乐会）,扩展项目,河北省安新县,安新县非物质文化遗产保护协会
430,冀中笙管乐（东韩村拾幡古乐）,扩展项目,河北省易县,易县文化馆
